dep_orbit_id,arr_orbit_id,n_impulse,TOF,DV_total,departure_phase,arrival_phase,dv1_x,dv1_y,dv1_z,dv2_x,dv2_y,dv2_z,dv3_x,dv3_y,dv3_z,dv1_mag,dv2_mag,dv3_mag,t_leg1,t_leg2,min_moon_dist,lunar_valid,chain_id,position_residual,tof_idx,delta_C,rank,seeds_converged
L1_Lyapunov_09,L1_Halo_09,2,2.56030625357,0.143966460230,0.580015838366,0.381874900392,0.0369246261621,-0.00898241333164,0.100907623566,0.0167244925264,-0.0190294664091,-0.0257739972922,,,,0.107826064846,0.0361403953838,,2.56030625357,,0.00405499901284,false,77,2.40802181397e-12,51,-0.0229176510498,1,356
L1_Lyapunov_09,L1_Halo_09,2,2.56030625357,0.145251366720,0.283783868692,0.225913138659,0.0210601266664,-0.0339235351814,-0.0940302569937,0.00681360706694,0.0204822584808,-0.0372986354170,,,,0.102156861760,0.0430945049595,,2.56030625357,,0.128724002379,true,89,1.08949092172e-10,51,-0.0229176510498,2,356
L1_Lyapunov_09,L1_Halo_09,2,2.56030625357,0.146729374375,0.775002521748,0.691972852865,-0.0132645557644,0.0267968598666,0.0522465210898,-0.0242699213854,-0.0327008658687,0.0763506265765,,,,0.0601973346945,0.0865320396804,,2.56030625357,,0.123166031421,true,298,1.62894086268e-10,51,-0.0229176510498,3,356
L1_Lyapunov_09,L1_Halo_09,2,2.60951237864,0.143820675959,0.587783371215,0.401788995465,0.0393144492812,-0.00904043543717,0.107446598979,0.0131173664867,-0.0180301055188,-0.0186225216885,,,,0.114769887285,0.0290507886743,,2.60951237864,,0.00393562820293,false,95,1.38228702391e-11,52,-0.0229176510498,1,336
L1_Lyapunov_09,L1_Halo_09,2,2.60951237864,0.147543977676,0.283333373837,0.240817633753,0.0215808389655,-0.0374987413524,-0.0892546487507,0.00923790161905,0.0238020010488,-0.0410659976711,,,,0.0991881068328,0.0483558708429,,2.60951237864,,0.128415480198,true,2,4.74955928004e-11,52,-0.0229176510498,2,336
L1_Lyapunov_09,L1_Halo_09,2,2.60951237864,0.147569822389,0.285840726624,0.242278471083,0.0212491118638,-0.0374216600736,-0.0869078789112,0.00917968254551,0.0240786750164,-0.0435362362074,,,,0.0969787853837,0.0505910370055,,2.60951237864,,0.128278325821,true,21,2.86968423897e-11,52,-0.0229176510498,3,336
L1_Lyapunov_09,L1_Halo_09,2,2.65871850371,0.143620387797,0.595784774711,0.421555692630,0.0417369242590,-0.00960025154108,0.111981161734,0.0101165416782,-0.0168497190099,-0.0132971296517,,,,0.119891268488,0.0237291193097,,2.65871850371,,0.00277808133548,false,172,8.95481101352e-12,53,-0.0229176510498,1,357
L1_Lyapunov_09,L1_Halo_09,2,2.65871850371,0.149440998526,0.419444518716,0.293478868993,0.0142674764290,-0.0149240352582,0.0106618898160,0.0392620326595,-0.0167689734174,-0.118763268876,,,,0.0232371170004,0.126203881526,,2.65871850371,,0.00289468152175,false,193,1.71381234961e-10,53,-0.0229176510498,2,357
L1_Lyapunov_09,L1_Halo_09,2,2.65871850371,0.149455863086,0.422184408096,0.294621522113,0.0144426491084,-0.0148283309614,0.0117262835880,0.0390637873331,-0.0158704896432,-0.118380734846,,,,0.0237902341131,0.125665628972,,2.65871850371,,0.00560175872599,true,75,2.39004482609e-10,53,-0.0229176510498,3,357
L1_Lyapunov_09,L1_Halo_09,2,2.70792462878,0.143440830714,0.603868542740,0.441110512532,0.0441945051049,-0.0106247012861,0.115046516868,0.00766074116929,-0.0156221372262,-0.00932493188765,,,,0.123700200494,0.0197406302201,,2.70792462878,,0.00264713988776,false,148,4.20626560070e-12,54,-0.0229176510498,1,347
L1_Lyapunov_09,L1_Halo_09,2,2.70792462878,0.150813309001,0.399999966829,0.290817711975,0.0137103995116,-0.0165126015352,0.00799723152889,0.0404560672387,-0.0139293070641,-0.120540667305,,,,0.0229040777233,0.127909231278,,2.70792462878,,0.00572937496551,true,29,2.22299967234e-11,54,-0.0229176510498,2,347
L1_Lyapunov_09,L1_Halo_09,2,2.70792462878,0.158079217627,0.274999967186,0.264114347088,0.0248361327683,-0.0476225078087,-0.0868999939601,0.0169846086747,0.0324516998083,-0.0422557009138,,,,0.102158434263,0.0559207833636,,2.70792462878,,0.128064475887,true,111,3.90010890957e-11,54,-0.0229176510498,3,347
L1_Lyapunov_09,L1_Halo_09,2,2.75713075385,0.143344581388,0.611679748421,0.460433560574,0.0465946042897,-0.0119762168901,0.117038584017,0.00563494520113,-0.0144887901489,-0.00637941927627,,,,0.126540574791,0.0168040065967,,2.75713075385,,0.00392243290140,false,14,2.74890351894e-12,55,-0.0229176510498,1,341
L1_Lyapunov_09,L1_Halo_09,2,2.75713075385,0.152534607094,0.380555601262,0.288119054744,0.0134212836533,-0.0185107598021,0.00549891197742,0.0417315368098,-0.0107565337711,-0.121607957240,,,,0.0235163159591,0.129018291135,,2.75713075385,,0.00155866915923,false,29,6.58903034005e-11,55,-0.0229176510498,2,341
L1_Lyapunov_09,L1_Halo_09,2,2.75713075385,0.165130107815,0.324998789282,0.678917634637,0.0309308184990,-0.00918645642792,0.0241788039739,-0.0117821854915,-0.0334582170481,0.119662997696,,,,0.0403202316006,0.124809876215,,2.75713075385,,0.0486678898763,true,218,5.13148542200e-12,55,-0.0229176510498,3,341
